url_len,@,?,-,=,.,#,%,+,$,!,*,",",//,abnormal_url,https,digits,letters,Shortining_Service,having_ip_address,web_ext_ratio,web_unique_domains,web_favicon,web_csp,web_xframe,web_hsts,web_xcontent,web_security_score,web_forms_count,web_password_fields,web_hidden_inputs,web_has_login,web_ssl_valid,web_ext_ratio,web_unique_domains,web_favicon,web_csp,web_xframe,web_hsts,web_xcontent,web_security_score,web_forms_count,web_password_fields,web_hidden_inputs,web_has_login,web_ssl_valid,phish_urgency_words,phish_security_words,phish_brand_mentions,phish_brand_hijack,phish_multiple_subdomains,phish_long_path,phish_many_params,phish_suspicious_tld,domain_ngram_entropy,path_depth,path_entropy,subdomain_count,avg_subdomain_len,consonant_ratio,vowel_ratio,digit_ratio,avg_token_length,token_count,label
16,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.375,0,0,0,0,0,3.25,4,2
35,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.079143374,0,0,0,0,0.028571429,3.75,8,0
31,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.708093392,0,0,0,0,0.032258065,4.333333333,6,0
84,0,1,1,4,2,0,0,0,0,0,0,0,1,0,0,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,3.121928095,0,0,0.470588235,0.411764706,0.083333333,3.941176471,17,1
235,0,1,1,3,2,0,0,0,0,0,0,0,1,0,0,22,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.459431619,1,3.121928095,0,0,0.47826087,0.434782609,0.093617021,4.42,50,1
118,0,0,16,0,2,0,0,0,0,0,0,0,1,0,0,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.321928095,3,4.05942891,0,0,0.636363636,0.272727273,0.008474576,4.086956522,23,0
45,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.385754485,0,0,0,0,0.088888889,3.888888889,9,0
46,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.497155803,0,0,0,0,0,6.666666667,6,0
40,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.969815782,1,3.506890596,0,0,0.555555556,0.388888889,0,6.8,5,1
45,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.330416152,0,0,0,0,0.111111111,4.222222222,9,0
62,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,7,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4.588534464,0,0,0,0,0.112903226,5.4,10,0
60,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.906890596,3,3.730289691,0,0,0.6875,0.25,0.066666667,6.375,8,1
30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.215061012,0,0,0,0,0.266666667,5.2,5,0
57,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.606739354,2,3.879664005,0,0,0.571428571,0.357142857,0.01754386,6,8,1
47,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3.324862958,0,0,0.529411765,0.411764706,0.042553191,5.571428571,7,1
48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.121928095,2,3.20869497,0,0,0.571428571,0.380952381,0,8.4,5,1
44,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.345350937,0,0,0,0,0,4.625,8,0
52,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.073329702,0,0,0,0,0.134615385,5.625,8,0
46,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.290321609,0,0,0,0,0.152173913,4.222222222,9,0
30,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0.186046512,7,1,0,0,0,0,0,1,0,3,0,0,0.186046512,7,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2.584962501,1,3.375,0,0,0.571428571,0.285714286,0,3.833333333,6,1
48,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.136508596,0,0,0,0,0.041666667,5.25,8,0
42,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22518528,0,0,0,0,0,5.142857143,7,2
35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.93287436,0,0,0,0,0.085714286,4.833333333,6,0
83,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,8,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4.464972945,0,0,0,0,0.096385542,5,14,0
33,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.271370634,0,0,0,0,0.151515152,3.625,8,0
33,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.001629167,0,0,0,0,0.151515152,4.666666667,6,0
